timestamp,error_type,cleaned_message,Source,Destination
2026-04-25 20:09:09.384032000,UDP,4997    47548 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:09.384032000,UDP,4997    58580 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:09.384032000,UDP,4997    36647 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:09.384032000,UDP,4997    51841 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:09.384032000,UDP,4997    47863 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:09.384033000,UDP,4997    34125 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385445000,UDP,48785    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385445000,UDP,47863    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385445000,UDP,47439    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385445000,UDP,49066    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385445000,UDP,36317    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385445000,UDP,58580    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385445000,UDP,34125    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385445000,UDP,36356    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385455000,UDP,36647    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385455000,UDP,50465    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385455000,UDP,36724    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385457000,UDP,60144    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385482000,UDP,47548    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385495000,UDP,51841    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385496000,UDP,35703    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:10.385574000,UDP,4997    48785 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385574000,UDP,4997    47863 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385574000,UDP,4997    47439 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385604000,UDP,4997    49066 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385604000,UDP,4997    36317 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385604000,UDP,4997    58580 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385638000,UDP,4997    34125 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385638000,UDP,4997    36356 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385638000,UDP,4997    36647 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:10.385638000,UDP,4997    50465 len17,192.168.0.22,192.168.0.23
