"No.","Time","Source","Destination","Protocol","Length","Info"
"167","20:09:10.385574300","192.168.0.22","192.168.0.23","UDP","59","4997  >  47863 Len=17"
"168","20:09:10.385574300","192.168.0.22","192.168.0.23","UDP","59","4997  >  47439 Len=17"
"169","20:09:10.385604300","192.168.0.22","192.168.0.23","UDP","59","4997  >  49066 Len=17"
"170","20:09:10.385604400","192.168.0.22","192.168.0.23","UDP","59","4997  >  36317 Len=17"
"171","20:09:10.385604600","192.168.0.22","192.168.0.23","UDP","59","4997  >  58580 Len=17"
"172","20:09:10.385638800","192.168.0.22","192.168.0.23","UDP","59","4997  >  34125 Len=17"
"173","20:09:10.385638800","192.168.0.22","192.168.0.23","UDP","59","4997  >  36356 Len=17"
"174","20:09:10.385638900","192.168.0.22","192.168.0.23","UDP","59","4997  >  36647 Len=17"
"175","20:09:10.385638900","192.168.0.22","192.168.0.23","UDP","59","4997  >  50465 Len=17"
"176","20:09:10.385638900","192.168.0.22","192.168.0.23","UDP","59","4997  >  36724 Len=17"
"177","20:09:10.385639000","192.168.0.22","192.168.0.23","UDP","59","4997  >  60144 Len=17"
"178","20:09:10.385639000","192.168.0.22","192.168.0.23","UDP","59","4997  >  47548 Len=17"
"179","20:09:10.385639000","192.168.0.22","192.168.0.23","UDP","59","4997  >  51841 Len=17"
"180","20:09:10.385642300","192.168.0.22","192.168.0.23","UDP","59","4997  >  35703 Len=17"
"181","20:09:10.434476400","192.168.0.13","192.168.0.12","HTTP2","131","HEADERS[809]"
"182","20:09:10.434476500","192.168.0.13","192.168.0.12","HTTP2","147","DATA[809]"
"183","20:09:10.434598300","192.168.0.12","192.168.0.13","TCP","66","7777  >  40870 [ACK] Seq=1 Ack=147 Win=501 Len=0 TSval=3028933711 TSecr=3012151319"
"184","20:09:10.434654500","192.168.0.12","192.168.0.13","HTTP2","101","HEADERS[809]: 204 No Content"
"185","20:09:10.434707900","192.168.0.13","192.168.0.12","TCP","66","40870  >  7777 [ACK] Seq=147 Ack=36 Win=501 Len=0 TSval=3012151319 TSecr=3028933711"
"186","20:09:10.459148700","192.168.0.13","192.168.0.22","SCTP","98","HEARTBEAT "
"187","20:09:10.459215400","192.168.0.22","192.168.0.13","SCTP","98","HEARTBEAT_ACK "
"188","20:09:10.463947400","192.168.0.15","192.168.0.12","HTTP2","131","HEADERS[207991]"
"189","20:09:10.463947500","192.168.0.15","192.168.0.12","HTTP2","147","DATA[207991]"
"190","20:09:10.464021500","192.168.0.12","192.168.0.15","TCP","66","7777  >  39368 [ACK] Seq=1 Ack=147 Win=630 Len=0 TSval=4079993370 TSecr=978997091"
"191","20:09:10.465778700","192.168.0.12","192.168.0.15","HTTP2","101","HEADERS[207991]: 204 No Content"
"192","20:09:10.465845800","192.168.0.15","192.168.0.12","TCP","66","39368  >  7777 [ACK] Seq=147 Ack=36 Win=602 Len=0 TSval=978997093 TSecr=4079993370"
"207","20:09:11.387252800","192.168.0.23","192.168.0.22","UDP","67","36724  >  4997 Len=25"
"208","20:09:11.387252900","192.168.0.23","192.168.0.22","UDP","67","36647  >  4997 Len=25"
"209","20:09:11.387253000","192.168.0.23","192.168.0.22","UDP","67","50465  >  4997 Len=25"
"210","20:09:11.387253000","192.168.0.23","192.168.0.22","UDP","67","47548  >  4997 Len=25"
"211","20:09:11.387253000","192.168.0.23","192.168.0.22","UDP","67","49066  >  4997 Len=25"
"212","20:09:11.387253000","192.168.0.23","192.168.0.22","UDP","67","58580  >  4997 Len=25"
"213","20:09:11.387253000","192.168.0.23","192.168.0.22","UDP","67","47439  >  4997 Len=25"
"214","20:09:11.387253100","192.168.0.23","192.168.0.22","UDP","67","60144  >  4997 Len=25"
"215","20:09:11.387262200","192.168.0.23","192.168.0.22","UDP","67","48785  >  4997 Len=25"
"216","20:09:11.387262300","192.168.0.23","192.168.0.22","UDP","67","51841  >  4997 Len=25"
"217","20:09:11.387262300","192.168.0.23","192.168.0.22","UDP","67","36356  >  4997 Len=25"
"218","20:09:11.387262300","192.168.0.23","192.168.0.22","UDP","67","36317  >  4997 Len=25"
"219","20:09:11.387262300","192.168.0.23","192.168.0.22","UDP","67","35703  >  4997 Len=25"
"220","20:09:11.387262400","192.168.0.23","192.168.0.22","UDP","67","47863  >  4997 Len=25"
"221","20:09:11.387262400","192.168.0.23","192.168.0.22","UDP","67","34125  >  4997 Len=25"
"222","20:09:11.387568400","192.168.0.22","192.168.0.23","UDP","59","4997  >  36724 Len=17"
"223","20:09:11.387568500","192.168.0.22","192.168.0.23","UDP","59","4997  >  36647 Len=17"
"224","20:09:11.387568500","192.168.0.22","192.168.0.23","UDP","59","4997  >  50465 Len=17"
"225","20:09:11.387568500","192.168.0.22","192.168.0.23","UDP","59","4997  >  47548 Len=17"
"226","20:09:11.387568500","192.168.0.22","192.168.0.23","UDP","59","4997  >  49066 Len=17"
"227","20:09:11.387568600","192.168.0.22","192.168.0.23","UDP","59","4997  >  58580 Len=17"
"228","20:09:11.387568600","192.168.0.22","192.168.0.23","UDP","59","4997  >  47439 Len=17"
"229","20:09:11.387568600","192.168.0.22","192.168.0.23","UDP","59","4997  >  60144 Len=17"
"230","20:09:11.387574600","192.168.0.22","192.168.0.23","UDP","59","4997  >  48785 Len=17"
"231","20:09:11.387574600","192.168.0.22","192.168.0.23","UDP","59","4997  >  51841 Len=17"
"232","20:09:11.387574700","192.168.0.22","192.168.0.23","UDP","59","4997  >  36356 Len=17"
"233","20:09:11.387574700","192.168.0.22","192.168.0.23","UDP","59","4997  >  36317 Len=17"
"234","20:09:11.387574700","192.168.0.22","192.168.0.23","UDP","59","4997  >  35703 Len=17"
"235","20:09:11.387574700","192.168.0.22","192.168.0.23","UDP","59","4997  >  47863 Len=17"
"236","20:09:11.387574800","192.168.0.22","192.168.0.23","UDP","59","4997  >  34125 Len=17"
"238","20:09:11.543449300","192.168.0.14","192.168.0.12","HTTP2","132","HEADERS[208119]"
"239","20:09:11.543449400","192.168.0.14","192.168.0.12","HTTP2","147","DATA[208119]"
"240","20:09:11.543912800","192.168.0.12","192.168.0.14","TCP","66","7777  >  48588 [ACK] Seq=1 Ack=148 Win=657 Len=0 TSval=2398691214 TSecr=3161457288"
"241","20:09:11.543912800","192.168.0.12","192.168.0.14","HTTP2","101","HEADERS[208119]: 204 No Content"
"242","20:09:11.544586700","192.168.0.14","192.168.0.12","TCP","66","48588  >  7777 [ACK] Seq=148 Ack=36 Win=672 Len=0 TSval=3161457289 TSecr=2398691214"
"254","20:09:12.206823600","192.168.0.16","192.168.0.12","HTTP2","131","HEADERS[207989]"
"255","20:09:12.206823800","192.168.0.16","192.168.0.12","HTTP2","147","DATA[207989]"
"256","20:09:12.206823800","192.168.0.12","192.168.0.16","TCP","66","7777  >  51050 [ACK] Seq=1 Ack=147 Win=773 Len=0 TSval=3659425117 TSecr=3433020048"
"257","20:09:12.206823800","192.168.0.12","192.168.0.16","HTTP2","101","HEADERS[207989]: 204 No Content"
"258","20:09:12.206823800","192.168.0.16","192.168.0.12","TCP","66","51050  >  7777 [ACK] Seq=147 Ack=36 Win=602 Len=0 TSval=3433020049 TSecr=3659425117"
"261","20:09:12.389098200","192.168.0.23","192.168.0.22","UDP","67","36724  >  4997 Len=25"
"262","20:09:12.389098300","192.168.0.23","192.168.0.22","UDP","67","60144  >  4997 Len=25"
"263","20:09:12.389098300","192.168.0.23","192.168.0.22","UDP","67","36317  >  4997 Len=25"
"264","20:09:12.389098300","192.168.0.23","192.168.0.22","UDP","67","50465  >  4997 Len=25"
"265","20:09:12.389098400","192.168.0.23","192.168.0.22","UDP","67","58580  >  4997 Len=25"
"266","20:09:12.389098400","192.168.0.23","192.168.0.22","UDP","67","49066  >  4997 Len=25"
"267","20:09:12.389098400","192.168.0.23","192.168.0.22","UDP","67","35703  >  4997 Len=25"
"268","20:09:12.389098400","192.168.0.23","192.168.0.22","UDP","67","36647  >  4997 Len=25"
"269","20:09:12.389109600","192.168.0.23","192.168.0.22","UDP","67","36356  >  4997 Len=25"
"270","20:09:12.389109600","192.168.0.23","192.168.0.22","UDP","67","48785  >  4997 Len=25"
"271","20:09:12.389109700","192.168.0.23","192.168.0.22","UDP","67","47439  >  4997 Len=25"
"272","20:09:12.389109700","192.168.0.23","192.168.0.22","UDP","67","34125  >  4997 Len=25"
"273","20:09:12.389109700","192.168.0.23","192.168.0.22","UDP","67","47863  >  4997 Len=25"
"274","20:09:12.389109800","192.168.0.23","192.168.0.22","UDP","67","47548  >  4997 Len=25"
"275","20:09:12.389109800","192.168.0.23","192.168.0.22","UDP","67","51841  >  4997 Len=25"
"276","20:09:12.389112300","192.168.0.22","192.168.0.23","UDP","59","4997  >  36724 Len=17"
"277","20:09:12.389113400","192.168.0.22","192.168.0.23","UDP","59","4997  >  60144 Len=17"
"278","20:09:12.389128900","192.168.0.22","192.168.0.23","UDP","59","4997  >  36317 Len=17"
"279","20:09:12.389272200","192.168.0.22","192.168.0.23","UDP","59","4997  >  50465 Len=17"
"280","20:09:12.389272200","192.168.0.22","192.168.0.23","UDP","59","4997  >  58580 Len=17"
"281","20:09:12.389272300","192.168.0.22","192.168.0.23","UDP","59","4997  >  49066 Len=17"
"282","20:09:12.389272300","192.168.0.22","192.168.0.23","UDP","59","4997  >  35703 Len=17"
"283","20:09:12.389272300","192.168.0.22","192.168.0.23","UDP","59","4997  >  36647 Len=17"
"284","20:09:12.389272300","192.168.0.22","192.168.0.23","UDP","59","4997  >  36356 Len=17"
"285","20:09:12.389272300","192.168.0.22","192.168.0.23","UDP","59","4997  >  48785 Len=17"
"286","20:09:12.389272400","192.168.0.22","192.168.0.23","UDP","59","4997  >  47439 Len=17"
"287","20:09:12.389277000","192.168.0.22","192.168.0.23","UDP","59","4997  >  34125 Len=17"
